time,data
0,0.0078125
0.004,6.546875
0.008,38.6640625
0.012,104.53125
0.016,203.4296875
0.02,335.34375
0.024,499.8359375
0.028,697.140625
0.032,927.0234375
0.036,1189.296875
0.04,1483.8515625
0.044,1810.4375
0.048,2168.8515625
0.052,2559
0.056,2980.4453125
0.06,3433.078125
0.064,3916.5546875
0.068,4430.484375
0.072,4974.6640625
0.076,5548.8125
0.08,6152.3046875
0.084,6784.8125
0.088,7446.3046875
0.092,8135.90625
0.096,8853.5390625
0.1,9598.5
0.104,10370.3671875
0.108,11168.71875
0.112,11993.1171875
0.116,12842.796875
0.12,13717.4453125
0.124,14616.1875
0.128,15539.1171875
0.132,16485.0625
0.136,17453.6328125
0.14,18444.140625
0.144,19455.9609375
0.148,20488.5625
0.152,21541.5234375
0.156,22613.28125
0.16,23703.9921875
0.164,24812.796875
0.168,25938.8671875
0.172,27081.65625
0.176,28240.3984375
0.18,29414.171875
0.184,30602.4296875
0.188,31804.296875
0.192,33019.1171875
0.196,34246.140625
0.2,35484.3984375
0.204,36733.4375
0.208,37992.1171875
0.212,39259.9375
0.216,40535.8671875
0.22,41819.28125
0.224,43109.2265625
0.228,44404.984375
0.232,45705.6484375
0.236,47010.453125
0.24,48318.6796875
0.244,49629.09375
0.248,50941.3828125
0.252,52254.6875
0.256,53567.7734375
0.26,54880.125
0.264,56190.5859375
0.268,57498.78125
0.272,58803.6484375
0.276,60104.328125
0.28,61400.0078125
0.284,62690.046875
0.288,63973.3515625
0.292,65249.359375
0.296,66517.0859375
0.3,67775.921875
0.304,69024.7578125
0.308,70263.140625
0.312,71490.0703125
0.316,72704.890625
0.32,73906.8359375
0.324,75094.984375
0.328,76268.7734375
0.332,77427.453125
0.336,78570.2265625
0.34,79696.28125
0.344,80805.1015625
0.348,81895.859375
0.352,82967.8046875
0.356,84020.515625
0.36,85052.9921875
0.364,86064.890625
0.368,87055.2734375
0.372,88023.875
0.376,88969.8359375
0.38,89892.5
0.384,90791.3984375
0.388,91666.109375
0.392,92515.7578125
0.396,93340
0.4,94138.3515625
0.404,94910.25
0.408,95655.1953125
0.412,96372.65625
0.416,97062.3515625
0.42,97723.796875
0.424,98356.2265625
0.428,98959.828125
0.432,99533.8828125
0.436,100077.90625
0.44,100591.9296875
0.444,101075.3125
0.448,101527.9609375
0.452,101949.34375
0.456,102339.5234375
0.46,102697.921875
0.464,103024.4609375
0.468,103318.921875
0.472,103581.1484375
0.476,103811.0625
0.48,104008.2890625
0.484,104172.875
0.488,104304.6796875
0.492,104403.609375
0.496,104469.5390625
0.5,104502.171875
0.504,104502.1640625
0.508,104469.453125
0.512,104403.4921875
0.516,104304.5625
0.52,104172.6796875
0.524,104008.09375
0.528,103810.8046875
0.532,103580.9375
0.536,103318.7421875
0.54,103024.140625
0.544,102697.5625
0.548,102332.484375
0.552,101910.328125
0.556,101423.015625
0.56,100871.515625
0.564,100256.125
0.568,99577.671875
0.572,98836.203125
0.576,98032.28125
0.58,97166.421875
0.584,96239.15625
0.588,95251.25
0.592,94203.1875
0.596,93095.4375
0.6,91929.09375
0.604,90704.53125
0.608,89422.796875
0.612,88084.484375
0.616,86690.515625
0.62,85241.734375
0.624,83739.25
0.628,82184.0625
0.632,80576.640625
0.636,78918.53125
0.64,77210.328125
0.644,75453.546875
0.648,73649.109375
0.652,71798.25
0.656,69901.6875
0.66,67961.171875
0.664,65977.78125
0.668,63952.78125
0.672,61887.25
0.676,59782.5625
0.68,57640.1875
0.684,55461.4375
0.688,53247.703125
0.692,51000.296875
0.696,48720.328125
0.7,46410.28125
0.704,44070.53125
0.708,41703
0.712,39309.171875
0.716,36890.265625
0.72,34448.375
0.724,31984.578125
0.728,29500.578125
0.732,26998
0.736,24478.390625
0.74,21943.171875
0.744,19394.453125
0.748,16833.234375
0.752,14261.078125
0.756,11680.34375
0.76,9092.0625
0.764,6498
0.768,3899.84375
0.772,1299.3125
0.776,-1301.984375
0.78,-3902.546875
0.784,-6500.734375
0.788,-9094.328125
0.792,-11682.796875
0.796,-14263.8125
0.8,-16835.6875
0.804,-19396.921875
0.808,-21945.765625
0.812,-24480.875
0.816,-27000.546875
0.82,-29503.203125
0.824,-31987.125
0.828,-34450.890625
0.832,-36892.84375
0.836,-39311.609375
0.84,-41705.4375
0.844,-44073.015625
0.848,-46412.65625
0.852,-48723.109375
0.856,-51002.609375
0.86,-53249.921875
0.864,-55463.734375
0.868,-57642.375
0.872,-59784.671875
0.876,-61889.234375
0.88,-63954.9375
0.884,-65979.796875
0.888,-67963.21875
0.892,-69903.6875
0.896,-71799.90625
0.9,-73650.96875
0.904,-75455.28125
0.908,-77212.09375
0.912,-78920.09375
0.916,-80578.265625
0.92,-82185.59375
0.924,-83740.953125
0.928,-85243.421875
0.932,-86692.09375
0.936,-88085.828125
0.94,-89424.078125
0.944,-90705.78125
0.948,-91930.265625
0.952,-93096.703125
0.956,-94204.125
0.96,-95252.265625
0.964,-96240.375
0.968,-97167.234375
0.972,-98033.0625
0.976,-98836.96875
0.98,-99578.328125
0.984,-100256.890625
0.988,-100872.078125
0.992,-101423.578125
0.996,-101910.8125
1,-102333.578125
